provider_name,domain_bucket,layer,name,real_world_capability,verb,access_pattern,endpoint_or_repo,maturity_status,source_pass,notes
eGov Foundation / DIGIT,civic_governance_process,product,Citizen Complaint Resolution (PGR),"File a civic complaint, get tracked/routed/resolved with SMS updates, reopen if unsatisfied",resolve,reference_app,https://urban.digit.org,active_maintained,v1,"/requests/_create, /_search, /_update endpoints documented."
eGov Foundation / DIGIT,civic_governance_process,product,Residential Construction Permit,Apply for and track a building permit end-to-end,permit,reference_app,https://egov.org.in/product/residential-construction-permit-system,active_maintained,v1,
eGov Foundation / DIGIT,urban_environment,product,Water & Sewerage Connections,Apply for/manage utility connections,connect,reference_app,https://egov.org.in/product/water-sewerage,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,product,Local Business License Issuing,Apply for/renew a trade license,license,reference_app,https://egov.org.in/product/local-business-license-issuing-system,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,product,Birth & Death Certificate Issuance,Request vital-event certificates,certify,reference_app,https://egov.org.in/product/birth-death-certificate-issuance,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,product,Property Tax System,"Assess, bill, and collect property tax",bill,reference_app,https://egov.org.in/product/property-tax-system,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,product,mCollect,"Collect any demand-based revenue, not just property tax",collect,reference_app,https://egov.org.in/product/mcollect-demand-based-revenue-collection,active_maintained,v1,
eGov Foundation / DIGIT,urban_environment,product,Waste Management System,Route/track municipal waste collection,route,reference_app,https://egov.org.in/product/waste-management,active_maintained,v1,
eGov Foundation / DIGIT,health,product,Health Campaign Management (HCM),Plan/execute public health campaigns at scale,campaign,reference_app,https://egov.org.in/product/health-campaign-management,active_maintained,v1,
eGov Foundation / DIGIT,health,product,Digital Verifiable Credentialing (DIVOC),"Issue tamper-proof, verifiable digital certificates",certify,reference_app,https://divoc.egov.org.in,active_maintained,v1,"Built for COVID vaccination certs, now general-purpose."
eGov Foundation / DIGIT,social_protection_welfare,product,Social Benefit Delivery System,Administer eligibility + disbursal for welfare schemes,disburse,reference_app,https://egov.org.in/product/social-benefit-delivery-system,active_maintained,v1,
eGov Foundation / DIGIT,justice_legal,product,DRISTI,Online dispute resolution for courts,adjudicate,reference_app,https://egov.org.in/product/dristi-by-pucar,active_maintained,v1,
MOSIP (Modular Open Source Identity Platform),identity,core_service,MOSIP identity stack,Build a national or org-level digital identity + authentication system without starting from scratch,authenticate,sdk,https://github.com/mosip,active_maintained,v2,"DPG-certified, adopted 10+ countries."
MOSIP (Modular Open Source Identity Platform),identity,core_service,eSignet module,Single sign-on against a country's own digital identity platform,authenticate,sdk,https://github.com/mosip,active_maintained,v2,Infosys-contributed module.
Infosys Springboard,education_pedagogy,product,Infosys Springboard,Deploy free multi-language skilling courseware infrastructure at scale,skill,reference_app,https://infosysspringboard.org,active_maintained,v2,
WHO (World Health Organization),health,dataset_or_registry,GHO OData API,"Query 2,300+ published global-health indicators across 245 countries/regions programmatically",query,api,https://ghoapi.azureedge.net/api,active_but_deprecating,v2,Current implementation scheduled for replacement near end of 2025 — verify before building on it.
WHO (World Health Organization),health,dataset_or_registry,Athena API (legacy),Same underlying health-indicator data via an older query grammar,query,api,https://apps.who.int/gho/athena/api,legacy_unmaintained_but_usable,v2,"WHO explicitly states this is no longer maintained; still returns data — the textbook ""hidden in plain sight"" case."
WHO (World Health Organization),health,dataset_or_registry,ICD-11 API,Look up/validate diagnosis codes; build clinical or health-data tooling that speaks ICD-11,classify,api,https://icd.who.int/icdapi,active_maintained,v2,
World Bank,data_infrastructure_generic,dataset_or_registry,World Bank Open Data API,"Pull GDP, poverty, demographic, climate indicator series by country/year, including India",query,api,https://data.worldbank.org,active_maintained,v2,
UNICEF / Nyaruka (RapidPro),civic_governance_process,core_service,RapidPro flow engine,"Build a low-bandwidth conversational service (health reminders, agri advisories, grievance intake) reachable on basic phones via SMS/USSD/voice",converse,sdk,https://github.com/rapidpro/rapidpro,active_maintained,v2,Already used in several India state programs. No-code flow builder.
UN OCHA (Humanitarian Data Exchange),disaster_humanitarian,dataset_or_registry,Humanitarian Data Exchange,Pull structured crisis/vulnerability/disaster-response datasets instead of scraping news,query,api,https://data.humdata.org,active_maintained,v2,"India-relevant subsets exist (disaster, refugee, food security)."
OpenSPP community,social_protection_welfare,core_service,OpenSPP platform,"Build a beneficiary registry + eligibility + payout system for any welfare-style program, not limited to government",disburse,sdk,https://openspp.org,active_maintained,v2,
Medic (Community Health Toolkit),health,core_service,Community Health Toolkit,Build an offline-first frontline community-health-worker workflow app usable with poor connectivity,coordinate,sdk,https://communityhealthtoolkit.org,active_maintained,v2,
Mojaloop Foundation,payments_finance,core_service,Mojaloop payment switch,"Build interoperable real-time payment rails for a closed ecosystem (local currency, loyalty network, cooperative)",settle,sdk,https://mojaloop.io,active_maintained,v2,Reference implementation of a UPI-like switch.
MeitY — API Setu,identity,dataset_or_registry,API Setu directory,"Single aggregator/directory to citizen-identity and records APIs: Aadhaar, PAN, GSTN, DigiLocker, Sarathi, VAHAN, PMJAY, PM-KISAN, India Post",verify,api,https://apisetu.gov.in,mixed_or_unverified,v2,"Some services publicly callable today (CoWIN, ABHA, VAHAN lookup, PIN code, GSTN search); others require regulated-entity onboarding. Highest-value single addition from the v2 pass — turns identity verification from bespoke integration into directory lookup."
ISRO/NRSC — Bhuvan,geospatial_earth_observation,dataset_or_registry,Bhuvan API,"Programmatic access to India's own satellite/geospatial data: land use, disaster monitoring, thematic maps, district-level codes",observe,api,https://bhuvan-app1.nrsc.gov.in/api,active_maintained,v2,"Government-run, functional, but documentation is sparse/dated — genuinely hidden in plain sight. Direct relevance to pollution/environment/energy problem bucket."
CDPG — India Urban Data Exchange (IUDX),urban_environment,core_service,IUDX data exchange,"Open-standard data exchange layer for city/ULB data: traffic, air quality, water, waste",exchange,api,https://github.com/datakaveri,active_maintained,v2,Purpose-built for the noise/pollution/urban-environment bucket. Several cities publish live datasets.
Bhashini (National Language Technology Mission),language_translation,core_service,Bhashini ASR/MT/TTS models,Add multilingual voice/text interfaces across Indian languages without building translation from scratch,translate,api,https://bhashini.gov.in,active_maintained,v2,Actively expanding. Reusable across pedagogy and service-access solutions.
data.gov.in (Open Government Data Platform India),data_infrastructure_generic,dataset_or_registry,OGD Platform India datasets,Query the central catalogue of datasets published by every ministry/department,query,api,https://data.gov.in/apis,mixed_or_unverified,v2,Platform is alive; individual dataset freshness ranges from live to years-stale. Check per dataset.
Sunbird,education_pedagogy,core_service,Sunbird stack,"Deploy a content repository, learning analytics, and credentialing infrastructure for education at scale",educate,sdk,https://sunbird.org,active_maintained,v2,"India-origin, DPG-certified, underlies DIKSHA (national teacher/student platform)."
OpenCRVS community,civic_governance_process,product,OpenCRVS,"Open-source civil registration system for births/deaths, alternative lens to DIGIT's own product",register,reference_app,https://opencrvs.org,mixed_or_unverified,v2,Active globally; limited verified direct India deployment so far.
Apache Fineract / Mifos Initiative,payments_finance,core_service,Apache Fineract / Mifos X,"Build a lending/savings-product backend without a bank's core-banking cost, built for microfinance/financial inclusion",lend,sdk,https://fineract.apache.org,active_maintained,v2,Relevant to investing/portfolio tooling interests.
ODK (Open Data Kit),data_infrastructure_generic,core_service,Open Data Kit (ODK),"Collect structured field data offline-first on mobile, sync when connected",collect,sdk,https://getodk.org,active_maintained,v2,Underlies a large share of India's own NGO/survey data pipelines.
KoboToolbox,data_infrastructure_generic,core_service,KoboToolbox,Form-based structured data collection for humanitarian/research use,collect,sdk,https://kobotoolbox.org,active_maintained,v2,"Same use case as ODK, different ecosystem."
OpenMRS / Bahmni,health,product,OpenMRS / Bahmni EMR,Run a clinic-scale electronic medical record backend,record,reference_app,https://openmrs.org,active_maintained,v2,Bahmni is India-origin (Thoughtworks + collaborators).
Primero / CPIMS+ (UNICEF-backed),social_protection_welfare,product,Primero / CPIMS+,Run case management for child-protection services,protect,reference_app,https://primero.org,active_maintained,v2,"UNICEF-backed. Niche but real, protective-services angle."
OpenClimate,urban_environment,dataset_or_registry,OpenClimate,Track emissions accounting by jurisdiction on an open climate-data platform,track,api,https://openclimate.network,draft_or_early_stage,v2,"Newer, less battle-tested than the rest of the dragnet."
SEPAL (FAO),geospatial_earth_observation,core_service,SEPAL (FAO),Run satellite-imagery-based land monitoring in the cloud,observe,sdk,https://sepal.io,active_maintained,v2,"Alternative/complement to Bhuvan, globally maintained by FAO."
"X-Road (Estonia-origin, reused elsewhere)",data_infrastructure_generic,core_service,X-Road,"Design a secure, interoperable data-exchange layer between independent systems",exchange,sdk,https://x-road.global,active_maintained,v2,"Architectural reference (Estonia-origin), not India-deployed but codebase usable anywhere."
TCS (Public Services India / DigiGOV),procurement,product,GeM (Government e-Marketplace),Discover/bid on government procurement opportunities; TCS is current SI rebuilding it on open-API architecture,procure,reference_app,https://gem.gov.in,active_maintained,v2,"Government-owned platform, not a TCS public good; included because govt-as-customer is a relevant angle."
TCS (Public Services India / DigiGOV),data_infrastructure_generic,product,TCS DigiGOV suite,TCS's internal IP for building/operating govt mission-mode systems,n/a,n/a,,mixed_or_unverified,v2,Not directly usable by outsiders. Logged so it is not chased again.
UIDAI (Aadhaar),identity,core_service,Aadhaar Authentication API,"Confirm a person is who they claim to be via biometric or OTP match against UIDAI's central registry, without the requesting entity ever seeing the underlying biometric",authenticate,api,https://uidai.gov.in/en/ecosystem/authentication-devices-documents/developer-section.html,active_maintained,v3,Direct access requires AUA/sub-AUA licensing; most builders integrate via a licensed KUA/sub-AUA partner rather than UIDAI directly.
UIDAI (Aadhaar),identity,core_service,Aadhaar eKYC API,"Pull a resident's verified name, address, DOB, gender, and photo electronically with consent, replacing physical document KYC",verify,api,https://uidai.gov.in/images/aadhaar_ekyc_api_2_0.pdf,active_maintained,v3,"Requires KUA (KYC User Agency) status — an eligibility tier above basic authentication access. Response is UIDAI-signed, legally equivalent to the physical Aadhaar letter."
UIDAI (Aadhaar),identity,core_service,Aadhaar offline verification (XML / Secure QR / e-Aadhaar),"Verify identity from a resident-downloaded, digitally-signed document without any live call to UIDAI — no AUA/KUA licensing needed to consume it",verify,spec_only,https://uidai.gov.in,active_maintained,v3,"The one Aadhaar-adjacent capability an unlicensed builder can use directly: validate a UIDAI digital signature locally. No PID capture, no live UIDAI dependency."
NPCI (UPI),payments_finance,core_service,UPI real-time transfer (P2P / P2M),Move money instantly between any two bank accounts using a human-readable payment address instead of account/IFSC numbers,pay,api,https://www.npci.org.in,active_maintained,v3,"No direct public API — integration is via a licensed Payment Aggregator/PSP (e.g. Setu, Cashfree) or by becoming a bank-sponsored TPAP. NPCI's May 2025 API guidelines (OC-215) impose strict rate limits on status checks and merchant-list calls."
NPCI (UPI),payments_finance,core_service,UPI AutoPay (recurring mandates),"Set up recurring, pre-authorised debits (subscriptions, SIPs, EMIs) without a card network",automate_payment,api,https://www.npci.org.in,active_maintained,v3,Relevant to your options/rent-collection portfolio tooling if ever building a subscription or recurring-fee product.
NPCI (UPI),payments_finance,core_service,AePS (Aadhaar-enabled Payment System),"Withdraw cash, check balance, or make a merchant payment using only a fingerprint and Aadhaar number — no card, no smartphone required",pay,api,https://www.npci.org.in,active_maintained,v3,The financial-inclusion-relevant UPI-adjacent rail — matters for rural/low-smartphone-penetration solutions.
MeitY (DigiLocker),identity,core_service,DigiLocker document pull (Requester API),"Fetch a citizen's government-issued documents (PAN, driving license, marksheets, vehicle RC, etc.) directly from the issuing authority with their consent, skipping upload-and-manually-verify flows",verify,api,https://digilocker.gov.in,active_maintained,v3,"Needs MeitY approval as a Requester entity. ~950 crore documents stored, ~67 crore users as of March 2026 — genuinely at population scale."
MeitY (DigiLocker),identity,product,DigiLocker citizen app,"Store and share verified copies of your own documents from a phone, usable without any special registration",store,reference_app,https://digilocker.gov.in,active_maintained,v3,"The consumer-facing half — no approval needed, unlike the Requester API."
Sahamati (Account Aggregator ecosystem),payments_finance,core_service,Account Aggregator consent-based data flow,"Let a user consent, once, to share financial data (bank statements, tax returns, investment holdings) from one regulated institution to another for a specific purpose and time window — data-blind to the aggregator itself",share_consented_data,api,https://sahamati.org.in,active_maintained,v3,2.61+ billion accounts enabled as of Dec 2025. Direct FIU (data-consumer) access requires RBI/SEBI/IRDAI/PFRDA regulation; unregulated builders access it by partnering with a regulated FIU. Directly relevant to your dividend/options portfolio tooling if ever aggregating a user's holdings across brokers.
National Health Authority (ABDM),health,core_service,ABDM Health ID + consent-based health record exchange,"Give a patient a portable, unique health ID and let them consent to sharing specific health records between providers, instead of records being siloed per hospital",share_consented_data,api,https://abdm.gov.in,active_maintained,v3,"The health-layer counterpart to Account Aggregator's financial-data model — same consent-architecture pattern, different regulator (NHA vs RBI)."
